customer_id,region,plan,tenure_months,tickets_90d,usage_score,late_payments,label
C00001,east,premium,64,1,58.69,1,0
C00002,west,pro,49,1,56.71,0,0
C00003,west,pro,64,1,47.48,1,0
C00004,north,basic,65,3,70.82,2,1
C00005,south,premium,47,0,50.5,0,0
C00006,east,pro,70,0,58.76,0,0
C00007,south,premium,15,0,78.29,1,0
C00008,west,pro,13,1,59.01,0,0
C00009,east,premium,23,0,48.32,3,1
C00010,north,basic,31,1,85.54,1,1
C00011,south,basic,22,0,66.27,0,0
C00012,south,premium,68,1,72.87,2,0
C00013,east,basic,32,4,88.73,0,0
C00014,west,basic,24,0,33.27,0,0
C00015,east,basic,62,0,100.0,0,0
C00016,west,pro,47,8,48.37,0,1
C00017,north,pro,15,0,73.37,2,1
C00018,west,basic,7,0,52.87,3,1
C00019,east,pro,38,1,61.99,1,1
C00020,east,pro,23,0,56.26,1,0
C00021,east,premium,14,4,47.84,2,1
C00022,north,basic,28,1,46.98,0,1
C00023,north,pro,54,0,26.72,0,0
C00024,north,pro,27,3,59.62,1,1
C00025,east,pro,57,1,76.45,0,0
C00026,east,premium,12,1,23.85,1,1
C00027,east,basic,68,0,56.2,0,0
C00028,west,basic,68,0,76.17,0,0
C00029,west,pro,61,0,48.53,0,0
C00030,west,pro,2,1,42.74,2,1
C00031,south,pro,46,3,66.31,3,1
C00032,north,pro,37,1,81.55,2,1
C00033,west,basic,26,0,59.42,0,0
C00034,south,basic,9,4,100.0,1,1
C00035,north,pro,68,1,69.42,1,0
C00036,north,premium,43,2,55.56,0,0
C00037,east,pro,34,0,61.76,0,0
C00038,south,pro,36,4,92.87,0,0
C00039,north,premium,66,0,83.41,0,0
C00040,east,basic,1,1,34.56,0,1
C00041,north,pro,41,0,63.25,3,1
C00042,west,basic,11,0,53.05,1,1
C00043,east,basic,44,3,55.72,0,1
C00044,south,basic,30,1,71.36,0,0
C00045,south,basic,27,4,44.41,2,1
C00046,south,basic,33,1,57.7,0,0
C00047,south,basic,32,0,24.99,3,1
C00048,west,pro,28,0,49.67,0,0
C00049,east,basic,15,1,44.78,0,1
C00050,east,basic,71,1,57.76,0,0
C00051,west,pro,9,3,77.04,0,1
C00052,west,basic,17,4,84.38,1,1
C00053,south,pro,42,0,87.66,1,0
